texto;classe;prob_pos;prob_neg;prob_neu;emoticon
"AEEEEE BELGICA, UM 💜 PRA VC, VINGOU A MORTE DA ALEMANHA. <a href=""http://www.youtube.com/results?search_query=%23B%C3%89LGICA"">#BÉLGICA</a>. <a href=""http://www.youtube.com/results?search_query=%23IRM%C3%83O"">#IRMÃO</a> DA ALEMANHA";negativo;0.010824891674324696;0.11634576817291925;0.8728293401527581;🙁
e essa a seleçao q vai pegar o brasil nas quartas kskskks;negativo;0.0006585911528902235;0.4155422696211469;0.5837991392259645;🙁
A Bélgica não vai aguentar o Brasil não...;negativo;0.033447119463390226;0.09700192562180501;0.8695509549148045;🙁
Passou do Japão no sufocou... Contra o brasil não aguenta a pressão;negativo;0.0029729486515064412;0.009899025061291856;0.9871280262872039;🙁
A Bélgica vai atropelar o brasil;negativo;0.06648023458900915;0.19280317331905747;0.7407165920919339;🙁
Vai tomar no centri di cu você rodrigo ferreira;negativo;0.0004541948020500623;0.1006146487997933;0.8989311563981572;🙁
Vai tomar no.cento do cu com essa radio quero ver.nao.ouvi . se quisesse ouvi ligava radio .;neutro;4.2301232350529144e-05;0.9538906440510836;0.0460670547165661;😐
Muito bom.;positivo;0.551025947493514;0.15646422708299637;0.29250982542348947;🙂
Não tem imagens?;neutro;0.2380979392812619;0.428576480124889;0.3333255805938484;😐
oi;neutro;0.3043481962435795;0.6521749944790451;0.04347680927737544;😐
Não esqueçam de se inscrever e ativar o sininho!!! 👉🔔 <br />---- <br />😘😘;neutro;0.009007103980021842;0.8859149897729256;0.10507790624705388;😐
<b>😂😂😂😂😂😂😂😂😂😂😂😂😂Desculpa mas</b>;neutro;0.34618640082761204;0.34675068183955604;0.30706291733283164;😐
"Mais Portugal já era<br /><br /><br />E México também ;-;";neutro;0.2392245069477045;0.5182277951250466;0.24254769792724912;😐
Já deu ruim Portugal e México😂 rodoou;negativo;0.4286533866389594;0.1386109888172185;0.43273562454382364;🙁
Brasil venceu o Mexico!;neutro;0.2866748321983301;0.5057447309256172;0.20758043687605301;😐
JÁ ERA.<br /><br />Portugal já foi <br />e o Brasil já meteu 2-0 até agora..!! kkkk;neutro;0.05783497535310359;0.6669252592810088;0.27523976536588696;😐
Os dois voaram kkkkkkkkkk;negativo;0.09198738785490039;0.2048357060200802;0.7031769061250207;🙁
Vim do futuro pra dizer que Portugaul perdeu pra Urugai e México perdeu pro Brasil<br />Tchau e obgd.;negativo;0.001136710047411665;0.08845991449502691;0.9104033754575609;🙁
Nao tem como as duas ja foram eliminadas;negativo;0.007922517176838678;0.05686073404245415;0.9352167487807079;🙁
Esqueceram que o mexico e Portugal ja foram embora;negativo;0.04042028219278267;0.2016554507895947;0.7579242670176204;🙁
Flw portugal alemãnh mexico argentina japão coreia;positivo;0.6921169139675105;0.18736929243270342;0.12051379359978512;🙂
Kkkk, parece que a feitiçaria dos Simpsons não teve efeito, kkakakak.;negativo;0.04674802528685587;0.12943350297607442;0.8238184717370695;🙁
México e Portugal ja se foi kkkkkk;positivo;0.42370247312464093;0.32132309704085865;0.2549744298344994;🙂
Já era, os dois já saíram kkkkkkkkkk;negativo;0.15079573353905687;0.025829921039753737;0.8233743454211893;🙁
Portuqual e mexico ja foram eliminados o mexico contra o brasil e o portuqual contra  uruquai;negativo;0.08050514378286201;0.2481315045219119;0.6713633516952275;🙁
Falta só o Brasil ser eliminado tb pra mim rir Estou na torcida pela França ou Bélgica;negativo;0.005112007191165638;0.028424937904269816;0.9664630549045586;🙁
Não é  isso n <br />Nas quartas de final estão : Uruguai, Croácia, Brasil e Bélgica;neutro;0.001428377633414362;0.9483921266301277;0.05017949573645772;😐
Portugal e México já estão chegando em casa kk;neutro;0.3944348410961559;0.5194825031833805;0.08608265572046304;😐
Portugal e México já foi em...;positivo;0.6091979964006635;0.26436905867785665;0.12643294492147958;🙂
Ihhhhhhhhh México e Portugal tão que nem avião 🛫🛫🛫🛫 já voaram 😂😂😂😂😂;negativo;0.09600519099208638;0.3341133956612312;0.5698814133466822;🙁
<b>MEXICO E PORTUGAL JA FOI ELIMINADOS</b>;negativo;0.2658263541305237;0.3417768920806264;0.39239675378884975;🙁
Vim do foturo dizer que o portugal e o mexico ta fora;negativo;0.3852907598023833;0.12731602470055434;0.48739321549706416;🙁
